PMID,label,method
39390053,other,deep-learning
39363262,computer vision,immunomagnetic enrichment approach
39287522,text mining,post hoc analysis
39273393,both,digital image analysis
39269702,both,Negative binomial regression analyses
39186542,other,Grad-CAM interpretability tool
39150527,text mining,retrieved endoscopic images recorded at baseline
39072032,text mining,Minimum Redundancy Maximum Relevance
39013794,text mining,deep learning models
38996550,other,matrix enhancement method
38975889,text mining,case-control study design
38925254,text mining,artificial intelligence algorithm
38912211,computer vision,ConvNext
38906615,computer vision,manual searching
38865594,both,anonymous cross-sectional online survey
38844338,computer vision,data algorithms
38829905,both,premise condition index
38822074,other,probabilistic model
38791626,computer vision,automated computer vision techniques
38784585,both,multistage sampling technique
38771787,other,deep-learning-based
38764024,computer vision,manually placed point prompts and text prompts
38752971,text mining,4-grade scheme
38747018,text mining,reverse transcription polymerase chain reactions
38730261,other,Gompertz-type empiric models
38729170,text mining,Frequency Appearance in Multiple Univariate pre-Screening feature selection algorithm
38721977,text mining,CT-based automated method
38720370,text mining,deep learning
38708409,computer vision,computer vision
38691910,text mining,Multivariable regression analysis
38682951,text mining,Computer-assisted analysis
38637130,text mining,imaging) analysis
38627686,text mining,movement analysis
38555897,both,Mann-Whitney test
38552710,text mining,cardiac computed tomography
38536464,text mining,Machine learning
38523502,both,narrative review
38456877,text mining,Computed tomography attenuation correction
38454859,computer vision,Indian datasets
38435105,both,web-based survey
38432061,text mining,Sankey plots and exponential bar plots
38424562,both,systematic review and meta-analysis
38417587,both,automated computer-vision model
38415781,other,deep learning
38339904,text mining,human newborn MRI
38332362,text mining,cerebral magnetic resonance imaging
38299747,both,systematic search
38232718,text mining,retrospective
38132808,both,semiautomated image analysis pipeline
38130069,both,semiobjective
38127464,text mining,METHODSCT lung scans
38093208,both,The validated CVS questionnaire
38052640,other,semantic relationship modelling and boundary detail guidance
38038829,text mining,tumor segmentation
38012314,text mining,deep learning
37985537,text mining,random forest analysis
37973154,both,verify the adults' gaze
37965142,text mining,metagenomic sequencing
37920033,other,pro-posed
37878876,both,questionnaire
37798709,text mining,chest computed tomography
37774924,computer vision,deep learning
37737493,computer vision,neural networks
37704099,text mining,Logistic regression
37682303,both,differential privacy-preserving federated transfer learning
37450598,other,unsupervised physics-informed convolutional neural network approach in reverse
37400768,both,Video Display Terminals
37355038,computer vision,This machine tool
37333294,both,phenotyping
37262367,computer vision,computer vision-based model
37243220,both,Sankey plots and exponential bar plots
37203083,both,online survey form was disseminated through social media and emails
37199796,text mining,An online questionnaire was emailed to all members and affiliates
37100512,computer vision,novel technique for COVID-19 protocol desecration via video summarization
37064426,both,quasi-Poisson regression model
37046502,text mining,ABC method
37016482,computer vision,immunohistochemistry
36981976,both,Computer Vision Syndrome Questionnaire
36935684,computer vision,linear regression models
36890870,both,non-validated diagnostic instruments
36841043,other,a generic facial feature scoring system
36675668,other,machine learning
36673661,text mining,online survey
36650793,other,machine learning
36607623,computer vision,deep learning
39212019,both,cluster random sampling
36581447,text mining,autopsy
36581259,both,random-forest classification algorithm
36550720,computer vision,web-based online form
36471221,both,web-based survey
36448797,text mining,"biophysical separation, cryogenic electron microscopy"
36369515,computer vision,online survey
36348012,text mining,silico analyses and wet-lab experiments
36333523,computer vision,deep learning
36319661,computer vision,computer vision
36317741,both,chi-square test
36231394,both,Computer vision models
36163429,both,data from a national administrative database
36162487,both,focus group and social media data
36155946,both,anonymous online survey
36153429,both,observational descriptive cross-sectional study
36143468,other,machine learning (ML) and deep-learning-based smart programs
36053639,computer vision,"cross-sectional, online, questionnaire-based"
36046271,both,electronic medical records
36044680,computer vision,Convolutional neural network models
35989604,text mining,visualize them as images
35957860,other,machine learning regression models
35957519,other,battery-operated imaging platform
35936377,computer vision,improved convolutional neural network algorithm
35920942,both,self-administrated survey
35910871,both,Computer Visual Syndrome Questionnaire
35905641,computer vision,deep learning model
35853006,computer vision,semi-structured self-administered questionnaire
35850660,text mining,hand movement analysis
35833287,both,hybrid intelligence
35751196,other,ology
35694382,computer vision,two-stage cluster sampling method
35689952,computer vision,convolutional neural network
35687417,both,computer vision algorithm that can diagnose four scar types using automated machine learning
35502020,both,noninvasive OSA
35457379,both,Rasch analysis
35409467,both,multiple logistical regression analysis
35379759,text mining,cross-sectional
35352106,both,Statistical regression analyses
35239240,text mining,open-source image processing software
35197504,other,Deep learning
35181681,both,two-dimensional convolutional neural network
35121376,both,Automatic Registration Toolbox (ART) and Symmetric Image Normalization Method
35115902,computer vision,hybrid learning-based neural network classifier
35114961,both,OCTA scans
35112736,both,Logistic regression
35110593,other,patient-level algorithm
34971977,computer vision,generalized convolutional neural network
34960000,both,Oral Consumption
34926368,computer vision,computer vision syndrome questionnaire
34887429,text mining,targeted screening
34882711,computer vision,deep learning algorithms
34853342,other,EDS with DL methods
34836777,both,CVS questionnaire
34787635,both,cross-sectional analysis
34782860,computer vision,histogram of oriented gradients (HOG) algorithm
34765089,computer vision,machine learning techniques
34735458,text mining,sequential Japanese sampling data
34698394,text mining,AI-based automated method
34696897,text mining,retrospective
34657757,both,condense the knowledge available in the literature
34655313,both,segmentation
34654436,both,Novel Object Recognition (NOR) test
34651046,computer vision,hybrid method
34650344,both,multivariable logistic regression
34639726,computer vision,computer vision
34615978,both,DenSeeMammo-DSM
34611230,text mining,Cox regression model
34608186,other,four powerful pre-trained CNN models
34584193,text mining,computational quantification
34558818,other,artificial intelligence
34556677,text mining,Bayesian survival analysis
34523805,both,Basic PB examination
34512022,text mining,image processing software
34487048,both,sex
34433364,both,online survey questionnaire
34423347,text mining,qualitative evaluation
34420961,both,Korean version of the CERAD assessment battery
34376765,other,artificial feed-forward neural networks
34376062,text mining,Mixed effects models
34362317,text mining,deep learning analysis
34336754,computer vision,convolutional neural networks
34326378,text mining,artificial neural network
34288966,text mining,Coronary artery calcification
34278294,other,online data
